Species	Data Collected	Plot	Sex	Weight	Scale calibrated or not
DM	2013-07-16	2	F	null	T
DM	2013-07-16	7	M	33	T
DM	2013-07-16	3	M	null	T
DM	2013-07-16	1	M	null	T
DM	2013-07-18	3	M	40	T
DM	2013-07-18	7	M	48	T
DM	2013-07-18	4	F	29	T
DM	2013-07-18	6	F	37	T
DO	2013-08-19	8	F	52	T
DO	2013-10-17	3	F	33	T
DO	2013-10-17	3	F	50	T
DO	2013-12-10	9	F	40	T
DO	2013-12-10	1	M	45	T
DO	2013-12-11	8	F	41	T
DS	2013-11-12	9	F	117	T
DS	2013-11-13	11	F	126	T
DS	2013-11-13	17	M	132	F
DS	2013-11-13	14	F	113	F
DS	2013-11-13	11	F	122	T
DS	2013-11-13	4	F	107	T
DS	2013-11-13	4	F	115	T